node,community,weighted_degree,betweenness
user_24316,2,36.0,1.5794658183331477e-05
user_5229,1,4.0,0.0
user_7058,1,12.0,4.511948202834632e-07
user_11248,4,143.0,0.0008000128138684127
user_32653,0,73.0,0.0008297178868638933
user_14389,5,31.0,0.0001246190702390943
user_19330,1,76.0,0.002911830167079912
user_7566,3,45.0,0.00017168799353363477
user_25813,0,49.0,0.00034808169239176174
user_30903,4,73.0,0.0004391950022126778
user_16786,7,93.0,0.0003656521429242799
user_19206,1,10.0,0.0
user_30199,0,26.0,0.00029954855824614
user_31256,0,19.0,2.999064703754516e-05
user_4400,1,12.0,0.00010121781712650373
user_9050,4,19.0,0.0
user_10276,1,6.0,0.0
user_15612,5,179.0,0.0015422859710619253
user_23413,2,77.0,0.0006580083850324245
user_24414,5,103.0,0.002647522924906576
user_25405,5,51.0,0.00030566935412851585
user_16976,1,7.0,0.0
user_25220,1,10.0,5.2139936618580366e-05
user_26562,1,3.0,0.0
user_4285,1,12.0,5.63993525354329e-07
user_5402,1,33.0,0.00025018823597636484
user_5411,1,3.0,0.0
user_28799,1,60.0,7.51773034249145e-05
user_71,2,36.0,3.805589490800366e-06
user_17794,1,15.0,5.60904305084888e-07
user_27926,3,45.0,0.0002163869021184183
user_30237,1,15.0,1.0163697202875955e-05
user_33934,1,8.0,0.0
user_15493,1,10.0,6.007624229062384e-06
user_15702,1,14.0,0.0
user_9757,0,160.0,0.0030099170197074596
user_32155,1,9.0,8.301738209352473e-06
user_13502,1,9.0,0.0
user_15536,4,92.0,0.0007453761124369495
user_18327,1,25.0,0.00024788571205932084
user_21518,3,9.0,2.7836611652839565e-05
user_33505,1,27.0,4.566795614009149e-05
user_12688,1,2.0,0.0
user_18451,1,9.0,0.0
user_2038,1,16.0,0.00011491481352305268
user_2320,5,40.0,0.0006253405147064047
user_2736,1,6.0,0.0
user_31041,1,4.0,0.0
user_33302,5,226.0,0.0012359552387935181
user_12380,5,177.0,0.004149267283917896
user_25593,2,11.0,1.4096937143592568e-05
user_4792,1,10.0,0.0
user_1356,2,290.0,0.002724122193346578
user_21623,2,405.0,0.015457123039681716
user_16980,5,13.0,3.9728084415130095e-05
user_20529,3,7.0,7.655559885408844e-05
user_24068,3,6.0,3.147835862844295e-05
user_30262,1,16.0,1.565468977207389e-05
user_3586,1,15.0,2.911982830376547e-05
user_16448,1,24.0,3.9661054616405764e-05
user_4595,1,29.0,0.00015011001206192924
user_13048,1,16.0,1.3804259159375048e-05
user_15620,5,109.0,0.0010358776062315506
user_24190,1,11.0,2.0644621216307864e-05
user_25854,1,27.0,4.5492520039157486e-05
user_28888,1,13.0,0.0
user_32617,1,28.0,0.0002493253739822504
user_33566,1,20.0,1.9506424655759605e-05
user_4883,3,41.0,0.0003663712128237671
user_5266,1,11.0,0.0
user_7686,1,17.0,7.93299792767969e-06
user_8084,1,21.0,0.00012159486176878588
user_10334,4,594.0,0.009741736902754521
user_16941,3,117.0,0.0005111560530646122
user_22901,3,85.0,0.0004180325626167612
user_31824,5,94.0,0.00030488740433785025
user_9208,1,44.0,0.00010736728989112614
user_29781,5,22.0,0.00016426679971344495
user_6111,5,18.0,1.870262721367474e-05
user_23455,3,17.0,0.0
user_33811,0,43.0,1.093154346210894e-05
user_4520,2,45.0,9.090389623992111e-05
user_5170,7,6.0,0.0
user_6763,1,11.0,0.0
user_7916,1,10.0,0.0
user_22180,1,18.0,0.0
user_22721,5,17.0,0.00019499578297296928
user_240,5,18.0,0.00021087081515518334
user_24212,1,43.0,0.00021388480847128502
user_30466,5,30.0,0.0006824201121113174
user_4631,3,1508.0,0.0504749835061137
user_5319,3,6.0,0.0
user_10809,4,28.0,1.800710312466326e-05
user_11544,4,52.0,0.00035515433369202903
user_26662,4,25.0,0.00027005470007308244
user_29207,5,261.0,0.0030537106087006357
user_13661,1,37.0,6.793384168299685e-05
